17/04/12 09:49:50.391 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:49:50.391 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - Heartbeat Message:52
17/04/12 09:49:50.391 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：0
17/04/12 09:49:55.429 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:49:55.436 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - MsgName：TOPOSEARCH,msgID：1
17/04/12 09:49:55.436 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：1
17/04/12 09:49:55.438 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - Start ip:192.168.1.211
17/04/12 09:49:55.438 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - Ip Segment:192.168.1.1 - 192.168.1.254
17/04/12 09:49:55.438 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - TOPOLOGY_THREADPOOL_COUNT >>> 220
17/04/12 09:49:55.438 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - ICMP dectecting......
17/04/12 09:49:55.438 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - ICMP dectect finish -> 0
17/04/12 09:49:55.454 INFO  [com.jhw.adm.comclient.service.SystemHandler] - ***系统类型: RS608-2F6T
17/04/12 09:49:55.470 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - WT device Type:RS608-2F6T
17/04/12 09:49:56.807 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - Finish discovery, now Arrangeing data......
17/04/12 09:49:56.810 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - 发现二层: 192.168.1.211
17/04/12 09:49:56.810 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - Snmp dectecting......
17/04/12 09:49:58.942 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - <<<detect snmp thread finish>>>
17/04/12 09:50:01.340 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - <<<detect snmp thread finish>>>
17/04/12 09:50:02.357 INFO  [com.jhw.adm.comclient.service.HeartbeatService$DoTask] - Sended heartbeat
17/04/12 09:50:02.405 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:50:02.406 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - Heartbeat Message:52
17/04/12 09:50:02.406 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：0
17/04/12 09:50:03.738 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - <<<detect snmp thread finish>>>
17/04/12 09:50:06.135 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - <<<detect snmp thread finish>>>
17/04/12 09:50:06.136 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - Snmp dectect finish -> 2
17/04/12 09:50:06.146 INFO  [com.jhw.adm.comclient.service.SystemHandler] - ***系统类型: RS608-2GF6T
17/04/12 09:50:06.162 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - WT device Type:RS608-2GF6T
17/04/12 09:50:06.992 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - Finish discovery, now Arrangeing data......
17/04/12 09:50:07.008 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - 发现二层: 192.168.1.37
17/04/12 09:50:07.246 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - Finish discovery, now Arrangeing data......
17/04/12 09:50:08.261 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - ***拓扑发现结束***
17/04/12 09:50:14.360 INFO  [com.jhw.adm.comclient.service.HeartbeatService$DoTask] - Sended heartbeat
17/04/12 09:50:14.398 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:50:14.414 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - Heartbeat Message:52
17/04/12 09:50:14.414 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：1
17/04/12 09:50:16.730 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:50:16.739 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：0
17/04/12 09:50:23.246 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:50:23.260 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：1
17/04/12 09:50:26.361 INFO  [com.jhw.adm.comclient.service.HeartbeatService$DoTask] - Sended heartbeat
17/04/12 09:50:26.380 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:50:26.380 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - Heartbeat Message:52
17/04/12 09:50:26.380 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：0
17/04/12 09:50:28.761 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:50:28.764 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - MsgName：SINGLESWITCHLLDP,msgID：166
17/04/12 09:50:28.764 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：1
17/04/12 09:50:29.760 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:50:29.776 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：0
17/04/12 09:50:36.260 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:50:36.277 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：1
17/04/12 09:50:38.361 INFO  [com.jhw.adm.comclient.service.HeartbeatService$DoTask] - Sended heartbeat
17/04/12 09:50:38.400 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:50:38.401 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - Heartbeat Message:52
17/04/12 09:50:38.401 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：0
17/04/12 09:50:42.761 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
